Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
hunu                            2.30%   0.00%     0.00%    10.34%   0.00%   13.79%   3.45%   2.30%     2.30%   5.75%    4.60%     3.45%    9.20%    4.60%    8.05%    2.30%      8.05%     1.15%    5.75%   10.34%     2.30%
ibutra                          8.33%   0.00%     0.00%     0.00%  16.67%   16.67%   8.33%   8.33%     0.00%   0.00%    0.00%     8.33%    0.00%    8.33%    0.00%   16.67%      0.00%     0.00%    0.00%    8.33%     0.00%
iggythegrifter                  7.07%   0.00%     3.03%    10.10%   3.03%    5.05%   6.06%   0.00%     5.05%  13.13%   10.10%    10.10%    7.07%    1.01%    6.06%    3.03%      3.03%     2.02%    2.02%    1.01%     2.02%
incnone                         6.52%   2.17%     6.52%     4.35%   0.00%   13.04%   6.52%   6.52%     8.70%   0.00%    4.35%     0.00%    8.70%    4.35%    6.52%    6.52%      6.52%     4.35%    0.00%    2.17%     2.17%
InfamousCupcake                 2.94%   0.00%     0.00%     2.94%   0.00%   20.59%  11.76%   0.00%     5.88%   5.88%    2.94%     8.82%    2.94%    0.00%   11.76%    5.88%      8.82%     0.00%    0.00%    8.82%     0.00%
isauragard                      5.00%   5.00%     5.00%     0.00%   0.00%   10.00%   5.00%  10.00%     0.00%   0.00%    5.00%    10.00%   15.00%    5.00%    0.00%    5.00%      0.00%    15.00%    5.00%    0.00%     0.00%
jackoburst                      5.56%   5.56%     2.78%     8.33%   2.78%    5.56%   5.56%   8.33%     0.00%   0.00%    5.56%     0.00%    2.78%   13.89%    2.78%    5.56%      2.78%     5.56%   13.89%    2.78%     0.00%
james1221                       1.85%   5.56%     3.70%     5.56%   0.00%   14.81%   3.70%   3.70%     3.70%   5.56%    7.41%     5.56%    3.70%    5.56%    3.70%    3.70%      5.56%     5.56%    1.85%    7.41%     1.85%
jd105l                          0.00%   4.26%     0.00%    12.77%   2.13%   10.64%   8.51%   2.13%     2.13%   0.00%    4.26%     4.26%    8.51%    2.13%    6.38%    6.38%     10.64%     8.51%    0.00%    6.38%     0.00%
jecat                           5.88%   0.00%    11.76%     0.00%  17.65%    5.88%   5.88%   5.88%    11.76%  11.76%    5.88%     0.00%    0.00%    5.88%    0.00%    5.88%      0.00%     0.00%    5.88%    0.00%     0.00%
