Spy Character Selection      Smallman    Duke    Salmon    Rocker    Taft    Alice    Teal    Sikh    Carlos    Sari    Bling    Morgan    Plain    Oprah    Queen    Boots    General    Disney    Helen    Irish    Wheels
Rooks                           7.27%   3.64%     0.00%     5.45%   5.45%   10.91%   1.82%   5.45%     3.64%   3.64%    1.82%    10.91%    1.82%    7.27%    5.45%    5.45%      3.64%     3.64%    5.45%    3.64%     3.64%
rooks                           0.00%   0.00%     0.00%     0.00%   0.00%    0.00%   0.00%   0.00%     0.00%  22.22%    0.00%    44.44%    0.00%    0.00%    0.00%    0.00%     22.22%     0.00%    0.00%    0.00%    11.11%
royalflush                      3.92%   3.92%     3.92%    13.73%   1.96%    3.92%   0.00%   9.80%     5.88%   0.00%    7.84%     1.96%    0.00%    1.96%    1.96%    5.88%     11.76%     5.88%    0.00%   15.69%     0.00%
rta                             0.00%   0.00%     0.00%     0.00%   0.00%    0.00%  50.00%   0.00%     0.00%   0.00%    0.00%     0.00%    0.00%    0.00%    0.00%   50.00%      0.00%     0.00%    0.00%    0.00%     0.00%
Ryooo                           3.64%   1.82%     0.00%     0.00%   1.82%   10.91%   1.82%   0.00%     0.00%   1.82%    9.09%    16.36%    5.45%    5.45%   10.91%    1.82%     10.91%     0.00%    7.27%    7.27%     3.64%
scallions                       6.25%   2.08%     2.08%     2.08%  12.50%    8.33%   0.00%   2.08%     0.00%  27.08%    0.00%    12.50%    4.17%    6.25%    2.08%    0.00%      2.08%     4.17%    2.08%    2.08%     2.08%
sergioc89                       9.09%   4.55%     4.55%     0.00%   0.00%    0.00%   0.00%   4.55%     0.00%   9.09%   13.64%    22.73%    0.00%    4.55%    0.00%    4.55%     13.64%     4.55%    0.00%    4.55%     0.00%
sgnurf                          0.00%   6.52%     4.35%     8.70%   2.17%    8.70%   6.52%  13.04%     0.00%   4.35%    4.35%     4.35%    4.35%    2.17%    4.35%    4.35%      2.17%     8.70%    0.00%    8.70%     2.17%
Sheph                           2.08%   2.08%     0.00%     6.25%   8.33%    8.33%  10.42%   6.25%     6.25%   0.00%    6.25%     2.08%    2.08%    8.33%    0.00%    6.25%      4.17%     4.17%    4.17%    8.33%     4.17%
Silverthorn                     5.56%   0.00%     0.00%     8.33%   0.00%   11.11%   2.78%   2.78%     0.00%   0.00%    8.33%    11.11%    2.78%   11.11%   11.11%    0.00%      5.56%     0.00%    0.00%   19.44%     0.00%
skrewwl00se                    10.42%   0.00%     0.00%     0.00%   0.00%    4.17%   2.08%  10.42%     0.00%   0.00%    6.25%    20.83%    8.33%    8.33%    4.17%    0.00%     10.42%     2.08%    2.08%    8.33%     2.08%
slappydavis                     0.00%   6.25%     8.33%     6.25%   0.00%    2.08%   8.33%   6.25%     0.00%   4.17%   10.42%     2.08%    2.08%    4.17%    8.33%    2.08%      4.17%    10.42%    8.33%    2.08%     4.17%
Smiddy                          6.25%   0.00%     0.00%    21.88%   3.12%    3.12%   3.12%   3.12%     3.12%   6.25%    3.12%     9.38%    6.25%    0.00%    3.12%    9.38%      6.25%     6.25%    0.00%    3.12%     3.12%
smonteGaming                    0.00%   3.03%     4.55%     1.52%   0.00%   12.12%  10.61%   3.03%     1.52%   1.52%    7.58%     1.52%    1.52%    9.09%    0.00%    0.00%     12.12%     0.00%    7.58%   22.73%     0.00%
soolseem                        2.22%   6.67%     6.67%     6.67%   6.67%    2.22%   2.22%   4.44%     4.44%   2.22%    2.22%     4.44%    4.44%   13.33%    4.44%    0.00%      6.67%     6.67%    4.44%    8.89%     0.00%
spedmonkey                     10.17%   0.00%     3.39%     1.69%   0.00%    8.47%   5.08%   3.39%     1.69%   6.78%    1.69%     8.47%    1.69%   10.17%    5.08%    3.39%     10.17%     5.08%    3.39%    5.08%     5.08%
Sun Bro                        13.79%   1.72%     8.62%     5.17%   6.90%    5.17%   1.72%   1.72%     3.45%   3.45%    6.90%     6.90%    6.90%    1.72%    3.45%    6.90%      3.45%     5.17%    3.45%    1.72%     1.72%
sykosloth                       3.28%   0.00%     0.00%     8.20%   1.64%    8.20%   4.92%   0.00%     0.00%   3.28%    4.92%     6.56%    8.20%   13.11%    3.28%    4.92%      4.92%     6.56%    3.28%    4.92%     9.84%
Tabsies                         8.47%   1.69%     0.00%     1.69%   0.00%    6.78%   1.69%   5.08%     1.69%  22.03%    3.39%     1.69%    3.39%    3.39%    6.78%    1.69%     15.25%     1.69%    6.78%    3.39%     3.39%
tflameee                       21.05%   0.00%     0.00%     0.00%   7.89%    0.00%   7.89%   2.63%     2.63%   0.00%    7.89%    21.05%    2.63%    0.00%    0.00%    0.00%     10.53%     7.89%    2.63%    5.26%     0.00%
tge                             0.00%   0.00%    20.00%     0.00%   0.00%    0.00%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%   20.00%   20.00%    0.00%    0.00%      0.00%    20.00%    0.00%   20.00%     0.00%
ThatOdinaryPlayer               0.00%  11.11%    11.11%    11.11%   0.00%   22.22%   0.00%   0.00%    11.11%   0.00%   11.11%     0.00%    0.00%    0.00%   11.11%   11.11%      0.00%     0.00%    0.00%    0.00%     0.00%
the_usual_toaster               3.57%   3.57%     0.00%     0.00%   1.79%   19.64%   7.14%   1.79%     5.36%   1.79%    8.93%     5.36%    7.14%    1.79%    1.79%    7.14%      7.14%     1.79%    0.00%   14.29%     0.00%
TheSmiddy                       3.85%   0.00%     3.85%     7.69%   7.69%    7.69%   0.00%   0.00%     0.00%  11.54%    0.00%    11.54%    0.00%    3.85%    3.85%    7.69%      7.69%     3.85%    3.85%   11.54%     3.85%
Tortuga-Man                     0.00%   0.00%     0.00%     0.00%   7.14%   14.29%   7.14%   7.14%     0.00%   7.14%   14.29%     7.14%    0.00%    7.14%    7.14%    0.00%      7.14%     0.00%    7.14%    0.00%     7.14%
turnipboy                       3.92%   3.92%     1.96%     9.80%   1.96%   11.76%   3.92%   0.00%     5.88%   0.00%    1.96%     0.00%    0.00%    3.92%    3.92%    1.96%     19.61%     1.96%    5.88%   13.73%     3.92%
turnout8                        6.12%   8.16%     6.12%     0.00%  10.20%   10.20%  10.20%   2.04%     0.00%   6.12%    2.04%     6.12%    8.16%    0.00%    0.00%    4.08%      6.12%    10.20%    0.00%    2.04%     2.04%
umbertofinito                  16.67%   0.00%     0.00%     5.56%  11.11%   11.11%   0.00%   0.00%     5.56%  11.11%   16.67%     5.56%    5.56%    5.56%    0.00%    5.56%      0.00%     0.00%    0.00%    0.00%     0.00%
Vac58                           7.69%   3.85%     5.77%     9.62%   9.62%    3.85%   3.85%   1.92%     1.92%   5.77%    3.85%     7.69%    9.62%    5.77%    3.85%    5.77%      3.85%     5.77%    0.00%    0.00%     0.00%
ventuskitsune                   3.57%   3.57%     1.79%     5.36%   5.36%    5.36%   5.36%   3.57%     3.57%   1.79%   14.29%     5.36%    5.36%    7.14%    3.57%    5.36%      0.00%     8.93%    0.00%    1.79%     8.93%
Vlady                          33.33%   0.00%     0.00%     0.00%   0.00%    0.00%   0.00%   0.00%     0.00%   0.00%    0.00%     0.00%    0.00%    0.00%    0.00%    0.00%      0.00%     0.00%   33.33%   33.33%     0.00%
warningtrack                    9.80%   1.96%     0.00%     5.88%   0.00%    5.88%   0.00%   0.00%     0.00%   9.80%    1.96%     5.88%    5.88%    3.92%    5.88%   17.65%      1.96%     1.96%    5.88%   11.76%     3.92%
Watermeat                       1.69%   6.78%     0.00%     5.08%   1.69%    8.47%   1.69%   1.69%     3.39%  10.17%    3.39%     1.69%    8.47%    5.08%    6.78%    5.08%      1.69%    10.17%    1.69%   13.56%     1.69%
wodar                          20.00%   2.00%     4.00%     8.00%   6.00%   10.00%  10.00%   4.00%     0.00%   0.00%    4.00%     0.00%    0.00%    2.00%    2.00%    2.00%      4.00%     4.00%    2.00%   14.00%     2.00%
yeesh                           0.00%   4.26%     2.13%    14.89%   4.26%    2.13%   2.13%   4.26%     0.00%   4.26%    2.13%     2.13%    8.51%   10.64%    4.26%    6.38%      2.13%    12.77%    4.26%    6.38%     2.13%
yerand                          6.25%   4.17%     6.25%     4.17%  10.42%    6.25%   0.00%   2.08%     4.17%   4.17%    4.17%     6.25%    2.08%    8.33%    4.17%    6.25%      2.08%     4.17%    6.25%    6.25%     2.08%
Yglini                          5.00%   2.50%     2.50%     5.00%   2.50%    7.50%   0.00%   5.00%     0.00%   7.50%    7.50%    10.00%    7.50%    2.50%    7.50%    5.00%      7.50%     2.50%    0.00%   12.50%     0.00%
zerodoom                        0.00%   2.08%     2.08%     6.25%   2.08%   10.42%   0.00%   4.17%     2.08%   4.17%   12.50%     6.25%    2.08%    8.33%    2.08%    0.00%     12.50%     4.17%    2.08%   16.67%     0.00%
